Entitas,Label
pemimpin,NOR
iran,NOR
al jaz,PER
##eer,ORG
iran,GPE
ali khamenei,PER
amerika serikat,GPE
israel,GPE
mojtaba khamenei,PER
ali khamenei,PER
iran,GPE
pemimpin,NOR
ayatollah mojtaba khamenei,PER
ayatollah ali khamenei al jazeera,PER
mojtab,PER
##a,NOR
ketiga,ORD
iran,GPE
amerika serikat,GPE
as,GPE
israel,GPE
mojtaba,PER
mojtaba khamenei,PER
korps garda,ORG
revolusi,NOR
islam irgc,ORG
mojtaba khamenei,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
mojtaba khamenei,PER
ali khamenei aljazeera,PER
ali khamenei,PER
as,GPE
israel,GPE
mojtaba,PER
pemimpin,NOR
iran,NOR
pemilihan mojtab,EVT
korps garda,ORG
revolusi,NOR
islam irgc,ORG
mojtaba,ORG
presiden amerika serikat as,NOR
donald trump,PER
iran,GPE
iran,GPE
as,GPE
israel,GPE
detik,ORG
##com,ORG
trump,PER
iran,GPE
trump,PER
dro,PRD
iran,GPE
iran,GPE
angkatan laut komunikasi,ORG
angkatan udara rudalrudal,ORG
dronedrone,PRD
drone beb,PRD
trump,PER
cbs news,ORG
florida,GPE
presiden amerika serikat as,NOR
donald trump,PER
iran,GPE
cbs news,ORG
trump,PER
iran,GPE
timur,EVT
as,GPE
israel,GPE
iran,GPE
februari,DAT
trump,PER
cbs news,ORG
dora,ORG
florida,GPE
iran,GPE
angkatan laut komunikasi,ORG
angkatan udara rudalrudal,ORG
dronedrone,PRD
dr,PRD
pemimpin tertinggi iran,NOR
ayatollah mojtaba khamenei iran,PER
rudal,PRD
israel,GPE
moj,PER
##tab,NOR
##a,PER
stasiun televisi pemerintah iran,NOR
rudal,PRD
israel,GPE
ali khamenei,PER
iran,GPE
ayatollah seyyed mojtaba khamene,PER
korps garda revolusi islam,NOR
ayatollah seyyed mojtaba kham,PER
##enei garda revolusi,NOR
pakar,ORG
ayatollah seyyed mojtaba khamene,PER
iran,NOR
mojtaba,PER
ali khamene,PER
israel,GPE
ali khamene,PER
menteri pertahanan menhan israel israel,NOR
pemimpin,NOR
iran,GPE
ali khamenei,PER
iran,GPE
stasiun televisi pemerintah iran,NOR
rudal gelombang,PRD
israel,GPE
ali khamenei,PER
iran,GPE
ayatollah seyyed mojtaba khamenei,PER
your command,WOA
sayyid,PER
mojtaba,PER
ayatollah seyyed mojtaba khamene,PER
pemimpin tertinggi iran,NOR
mojtaba,PER
ali khamenei,PER
israel,GPE
mojtaba khamenei,PER
majelis ahli pemimpin,NOR
ayatollah ali khamene,PER
pemerintah iran,NOR
televisi nasional,NOR
majelis,NOR
ahli,ORG
majelis,NOR
ahli,ORG
majelis,NOR
ahli badan ulama,ORG
allahu akbar allahu,REG
ayatollah mojtaba khemenei,PER
pemimpin tertinggi iran,NOR
moj,PER
##taba,NOR
ali khamenei aljazeera,PER
ali khamenei,PER
as,GPE
israel,GPE
majelis pakar moj,ORG
##tab,NOR
##a,ORG
pemimpin tertinggi iran,NOR
mojtaba khamenei,PER
korps garda,ORG
revolusi,NOR
islam irgc,ORG
mojtaba,NOR
pemimpin tertinggi iran,NOR
houthi berm,ORG
houthi,PER
mojtaba khamenei houthi,PER
amerika serikat,GPE
as,GPE
israel,GPE
iran,GPE
republik islam iran,NOR
sayyid mojtaba khamene,PER
revolusi islam,NOR
telegram houthi,ORG
mojtaba khamene,PER
garda revolusi iran,NOR
revolusi,EVT
islam,REG
republik islam,NOR
pakar,NOR
ayatollah seyyed,PER
mojtaba khamenei,PER
wilda hayatun nufus detikbali ayatollah mojtaba khamene,PER
pemimpin tertinggi iran,NOR
iran,GPE
israel,GPE
stasiun televisi pemerintah iran,NOR
rudal,PRD
israel,GPE
putra,PER
ali khamene,PER
iran,GPE
ayatollah seyyed mojtaba khamene,PER
your co,PRD
aljazeera,PER
ali khamenei,PER
as,GPE
israel,GPE
majelis,NOR
pakar,ORG
mojtaba,NOR
pemimpin tertinggi iran,NOR
mojtaba khamenei,PER
korps garda,ORG
revolusi islam ir,NOR
##g,ORG
##c,NOR
mojtaba khamene,PER
pahlav,NOR
revolusi,EVT
islam,REG
israel,GPE
tim detikbali presiden amerika serikat as,NOR
donald trump,PER
mojtaba khamene,PER
pemimpin tertinggi iran,NOR
trump,PER
senator senior as partai republik,NOR
ayatollah ali khamene,PER
pemimpin,NOR
iran,NOR
trump,PER
mojtaba khamene,PER
fox news,ORG
brian kilmeade kilmeade trump,PER
iran,GPE
mojtaba khamene,PER
pemimpin,NOR
kilmeade,PER
trump,PER
trump,PER
moj,PER
iran,GPE
rudal,PRD
israel,GPE
negeri mullah,GPE
mojtaba khamene,PER
iran,NOR
israel,GPE
iran,PRD
ayatollah seyyed mojtaba khamene,PER
your command,WOA
moj,PER
sayyid mojtab,PER
##a,NOR
majelis pakar iran,NOR
mojtaba khamene,PER
presiden amerika serikat as,NOR
donald trump,PER
ayatollah mojtaba khamene,PER
pemimpin tertinggi iran,NOR
mojtaba khamene,PER
ali khamenei,PER
as,GPE
israel,GPE
teheran,GPE
februari,DAT
al jaz,PER
##eera,NOR
fox news,ORG
brian kilmeade kilmeade trump,PER
iran,GPE
mojtaba khamene,PER
trump,PER
ayatollah seyyed mojtaba khamene,PER
ayatollah ali khamenei,PER
mojtaba khamenei,PER
mojtaba khamenei,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
asisrael,PER
iran,GPE
mojtab,PER
##a,NOR
moj,PER
##taba,NOR
kota,GPE
teheran,GPE
alunalun vanak,LOC
iran,GPE
mojtaba khamene,PER
sora,PER
##ks,NOR
##ora,PER
yelyel,PER
majelis pakar iran,NOR
mojtaba khamene,PER
ayatollah ali khamenei,PER
amerika serikat,GPE
asisrae,PER
februari,DAT
iran,GPE
ali khamenei,PER
amerika serikat,GPE
israel,GPE
teheran,GPE
iran,GPE
the guardian maret,ORG
lembaga ulama assembly of experts,ORG
pemimpin,NOR
iran,NOR
ali khamenei,PER
mojtaba khamene,PER
pemimpin tertinggi republik islam iran,NOR
pemerintah,NOR
badan ulama,NOR
iran,GPE
ayatollah seyyed mojtaba hosseini khamenei,PER
ayatollah ali khamenei,PER
majelis pakar iran,NOR
amerika serikat,GPE
israel,GPE
majelis,NOR
pakar,ORG
iran,NOR
mojtab,NOR
##a ulama,ORG
iran,GPE
khamenei,PER
majelis,NOR
pakar,ORG
iran,NOR
mohsen heidari alekasir,PER
khamene,PER
ayatollah ali khamenei,PER
mojtaba khamenei,PER
pemimpin tertinggi iran,NOR
iran,NOR
majelis pakar iran,NOR
iran,GPE
mojtaba khamene,PER
majelis badan ulama,NOR
pemimpin,NOR
negara,NOR
iran,GPE
mojtaba,PER
kota mashhad timur laut,GPE
iran,GPE
iran,GPE
mojtaba,PER
iran,GPE
pemimpin,NOR
iran,NOR
senator senior amerika serikat as,NOR
lindsey graham,PER
partai republik,NOR
mojtaba khamene,PER
ayatollah ali khamene,PER
pemimpin tertinggi iran,NOR
mojtaba,PER
graham al jazeera,PER
iran,GPE
khamenei,PER
graham,PER
senator south carolina,NOR
x,PER
graham,PER
as,GPE
iran,GPE
as,GPE
wall street journal ws,ORG
##j,TIM
graham,PER
perdana menteri pm israel,NOR
benjamin netanyahu,PER
presiden as,NOR
donald trump,PER
ayatollah seyyed mojtaba hosseini khamenei,PER
ayatollah ali khamenei,PER
majelis pakar iran,NOR
amerika serikat,GPE
israel,GPE
majelis,NOR
pakar,ORG
iran,NOR
mojtab,NOR
##a ulama,ORG
iran,GPE
khamenei,PER
majelis,NOR
pakar,ORG
iran,NOR
mohsen heidari alekasir,PER
khamene,PER
presiden amerika serikat,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
fox news,ORG
brian kilmeade al jazeera kilmeade,PER
presiden as,NOR
iran,GPE
mojtaba khamene,PER
trump,PER
mojtab,PER
trump,PER
khamenei,PER
abc news,ORG
iran,NOR
mojtaba trump,PER
pemimpin,NOR
iran,NOR
al arabiya ayatollah,PER
seyyed,PER
mojtaba,PER
hosseini khamenei,PER
ayatollah,PER
perdana menteri pm israel,NOR
benjamin netanyahu,PER
iran,GPE
teheran,GPE
ana,PER
netanyahu,PER
iran,GPE
pm israel,NOR
bibi,PER
iran,GPE
iran,GPE
netanyahu,PER
novi christiastuti,PER
detikbali iran,ORG
ayatollah seyyed mojtaba hosseini khamenei,PER
ayatollah ali khamenei,PER
majelis,NOR
pakar,ORG
iran,NOR
moj,ORG
##tab,NOR
##a,ORG
amerika serikat as,GPE
israel,GPE
ulama,REG
iran,GPE
majelis,NOR
pakar,ORG
iran,NOR
ulama,NOR
moj,ORG
##tab,NOR
##a,ORG
khamene,PER
perdana menteri pm israel,NOR
benjamin netanyahu,PER
iran,GPE
netanyahu,PER
tel aviv,GPE
teheran,GPE
netanyahu,PER
anadolu agency,ORG
israel,GPE
iran,GPE
netanya,PER
##hu,NOR
israel,GPE
iran,GPE
iran,GPE
netanyahu,PER
ayatollah seyyed mojtaba hosseini khamenei,PER
ayatollah ali khamenei,PER
majelis pakar iran,NOR
amerika serikat as israel,GPE
mojtaba,NOR
majelis,NOR
pakar,ORG
iran,NOR
mojtab,PER
##a,ORG
ulama,PER
iran,GPE
khamenei,PER
majelis pakar iran,NOR
mohsen heidari alekasir,PER
khamenei,PER
maret,DAT
iran,GPE
majelis,NOR
pakar,ORG
iran,NOR
mojtaba khamenei,PER
ayatollah ali khamene,PER
majelis,NOR
ayatollah seyyed mojtaba hosseini khamene,PER
ketiga sistem suci republik islam iran majelis,NOR
moj,PER
##taba,NOR
iran,GPE
mojtab,PER
iran,NOR
ali khamenei,PER
israel,GPE
amerika serikat as,NOR
khamenei,PER
mojtaba khamenei,PER
pemimpin tertinggi iran,NOR
mojtaba,PER
khamenei aljazeera,PER
majelis pakar moj,ORG
##taba,NOR
pemimpin tertinggi iran,NOR
mojtaba khamenei,PER
korps garda revolusi islam irgc,NOR
mojtaba khamenei,PER
mojtaba khamenei,PER
majelis pakar iran pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
asisrael mojtaba,PER
kawasan,LOC
the bishop avenue inggris,LOC
frankfurt,GPE
dubai,LOC
mojtaba,PER
the strait times,ORG
teluk persia,LOC
pemerintah amerika serikat,NOR
kedutaan,NOR
arab saudi,GPE
iran,GPE
washington,GPE
israel,GPE
departemen negeri as,NOR
pemerintah as,NOR
pemerintah as,NOR
arab saudi,GPE
iran,GPE
presiden as,NOR
donald trump,PER
teheran,GPE
amerika serikat,GPE
pemimpin tertinggi iran,NOR
ayatollah seyyed mojtaba hosseini khamenei,PER
london,GPE
inggris,GPE
kedutaan kedubes israel,NOR
mojtaba khamenei,PER
kens,GPE
##ington,ORG
lantai enam tujuh gedung istana kensington,LOC
juta pound sterling,MON
rp triliun,MON
kedutaan israel,NOR
london,GPE
##oll,ORG
supreme leader iran,NOR
ali khamenei,PER
amerika serikat as,GPE
israel,GPE
teheran,NOR
ali khamenei,PER
pemimpin,NOR
iran,GPE
negara struktur pemerintahan iran,NOR
leader,ORG
pemilihan pemilu presiden,EVT
iran,NOR
masoud pezeshkian,PER
encyclopaedia britannica supreme leader,ORG
republik,GPE
islam iran,NOR
republik islam iran,NOR
kedubes iran,LOC
jakarta,GPE
kedu,LAW
##bes,LOC
iran,GPE
operasi janji setia,EVT
va,PER
##deh,EVT
sadeg,PER
ayat,NOR
##ollah seyyed mojtaba khamene,PER
##i wilayahwilaya,NOR
pemerintah china,NOR
iran,GPE
mojtaba khamene,PER
china,GPE
china,GPE
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
iran,GPE
presiden as,NOR
donald trump,PER
mojtaba khamene,PER
pemimpin iran,NOR
juru bicara kementerian negeri china,NOR
guo jiakun,PER
iran,GPE
pemimpin iran,NOR
ayatollah ali khamenei,PER
asi,ORG
##s,LOC
##rae,PRD
iran,GPE
khamene,PER
badan,NOR
ulama,ORG
khamenei,PER
majelis pakar,NOR
ahmad alamolhoda mehr iran,PER
iran,ORG
asi,PER
##srae,ORG
##l,PER
teheran,GPE
alamolhoda sekreta,ORG
iran,GPE
ayatollah ali khamenei,PER
khamene,PER
badan,NOR
ulama,ORG
khamene,PER
majelis pakar,NOR
ahmad alamolhoda mehr iran,PER
israel,GPE
badan,NOR
ulama,ORG
ayatollah ali khamenei,PER
perang timur,EVT
majelis,NOR
pakar,ORG
ahmad alamolhoda mehr iran alamolhoda,PER
sekretariat badan,ORG
israel,GPE
majelis,NOR
pakar,ORG
depot,LOC
minyak pusat transportasi produk minyak bumi,ORG
teheran,NOR
alborz,ORG
pesawat,PRD
perusahaan distribusi produk minyak nasional,ORG
iran,NOR
veyskarami,ORG
televisi pemerintah iran,NOR
truk tangki minyak,PRD
veys,LOC
##kara,ORG
iran,GPE
al,GPE
jaz,ORG
##eera,NOR
teheran,GPE
iran,GPE
israel,GPE
israel,GPE
angkatan bersenjata iran,NOR
pemerintah,NOR
iran,GPE
infrastruktur,LOC
republik,GPE
islam,NOR
depot minyak selatan teheran,LOC
amerika serikat,GPE
zionis,GPE
ir,NOR
##na depot,ORG
minyak kawasan kilang minyak utama ilna,LOC
perdana menteri,NOR
benjamin netanya,PER
##hu,NOR
israel,GPE
amerika,NOR
serikat,GPE
iran,GPE
teheran,GPE
iran,GPE
net,GPE
##anya,NOR
israel,GPE
amerika serikat,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
pemerintah,NOR
netanya,PER
israel,GPE
pe,EVT
televisi,NOR
pemerintah,NOR
iran,GPE
iran,GPE
iran,GPE
garda revolusi iran,NOR
enam,CRD
amerika serikat,GPE
israel,GPE
juru bicara garda revolusi,NOR
ali mohammad naini iran,PER
rudal generasi rudal jarak canggih,PRD
presiden iran,NOR
rum,LOC
rezim,NOR
iran,GPE
net,NOR
##anyahu,NOR
israel,GPE
amerika serikat,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
pemerintah,NOR
net,NOR
israel,GPE
israel,GPE
amerika,GPE
iran,GPE
iran,GPE
israel,GPE
presiden iran,NOR
masoud pezeshkia,PER
iran,GPE
iran,GPE
detikcom,ORG
iran,GPE
presiden iran,NOR
pangkalan militer,NOR
as,GPE
iran,GPE
iran,GPE
televisi,NOR
pemerintah iran,NOR
dewan kepemimpinan,NOR
presiden amerika serikat as,NOR
donald trump,PER
iran,GPE
israel,GPE
trump,PER
iran,GPE
trump,PER
iran,GPE
as,GPE
israel,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ali khamenei,PER
as,GPE
garda revolusi iran,NOR
pesawat nirawak drone armada drone,PRD
israel,GPE
amerika serikat,GPE
##is,NOR
##rae,EVT
iran,GPE
pemimpin tertinggi iran,NOR
ali khamenei,PER
presiden iran,NOR
masoud pezeshkia,PER
iran,GPE
amerika serikat,GPE
presiden rusia,NOR
vladimir putin,PER
peze,PER
##sh,GPE
##kia,NOR
amerika serikat israel as israel,GPE
iran,GPE
februari,DAT
ayatollah seyyed ali khamenei,PER
iran,GPE
rudal drone,PRD
israel,GPE
##pangkalan,FAC
militer,NOR
as,GPE
negara,NOR
##negara,ORG
regional pezeshkia,NOR
##n,ORG
m,NOR
iran,GPE
trump,PER
trump,PER
trump,PER
iran,GPE
iran,GPE
as,GPE
israel,GPE
iran,GPE
iran,GPE
rezim iran,NOR
pemimpin tertinggi iran,NOR
ali khamenei,PER
asisrael,ORG
perang timur,EVT
rezim pusat teheran,NOR
rezim iran pusat komando darurat aman militer israel israel,NOR
israel,GPE
iran,GPE
kham,PER
israel,GPE
iran,GPE
khamene,PER
##aring,EVT
rezim iran militer israel militer,NOR
israel,GPE
jalan,LOC
teheran,GPE
ali khamenei,PER
asis,ORG
yogi ernes detikbali,PER
pemimpin tertinggi iran,NOR
ali khamenei,PER
amerika serikat,GPE
israel,GPE
teheran,GPE
pemerintah iran,NOR
kota,LOC
mashhad,GPE
far,PER
##s,ORG
pemerintah iran,NOR
khamenei,PER
mash,LOC
##had,GPE
kompleks imam reza,LOC
mass,GPE
##had,ORG
iran,GPE
kompleks suci imam reza makam imam kedelapan,LOC
penganut,REG
syiah,REG
yogi ernes detikbali,PER
pemimpin tertinggi iran,NOR
ali khamenei,PER
amerika serikat,GPE
israel,GPE
teheran,GPE
pemerintah iran,NOR
kota,LOC
mashhad,GPE
far,PER
##s,ORG
pemerintah iran,NOR
khamenei,PER
mash,LOC
##had,GPE
kompleks imam reza,LOC
mass,GPE
##had,ORG
iran,GPE
kompleks suci imam reza makam imam kedelapan,LOC
penganut,REG
syiah,REG
iran,GPE
fars,NOR
pemerintah iran,NOR
khamenei ali khamenei,PER
##had,GPE
makam imam reza masshad,LOC
iran,GPE
kompleks,LOC
imam reza,LOC
syiah,REG
umat,REG
syiah,REG
upacara perpisahan,EVT
teheran,GPE
revolusi,NOR
pemerintah,NOR
iran,GPE
khamenei khamene,PER
as,GPE
israel,GPE
iran,GPE
khame,PER
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
as,NOR
israel,GPE
republik islam,NOR
khamenei,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
amerika serikat as,NOR
guru hukum internasional universitas indonesia hikmahanto juwana,ORG
pemimpin,NOR
iran,GPE
khamenei,PER
ali khameini,PER
iran,GPE
ayat,PER
##h,PER
ma seo,PER
wakil,PER
mullah hikmahanto,PER
hikmah,PER
pemimpin,NOR
iran,GPE
as,GPE
israel,GPE
khamenei,PER
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat as,GPE
israel,GPE
aljaze,PER
ulama iran,NOR
khamene,PER
majelis pakar,ORG
khamene,PER
badan,NOR
ulama,ORG
republik,NOR
islam,ORG
khamene,PER
ayatollah ruhollah kh,PER
rumah,PRD
iran,GPE
ayatollah ali khamenei,PER
amerika serikat as,GPE
israel,GPE
teheran,GPE
iran,GPE
abc news,ORG
satelit hitam,PRD
kompleks,LOC
rumah khamene,LOC
business,ORG
kompleks,LOC
hangus khamene,LOC
as,GPE
israel,GPE
iran,GPE
israel,GPE
as,NOR
perwakilan pentagon,NOR
pasukan pertahanan israel,NOR
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika,GPE
serikat as israel,NOR
presiden as,NOR
donald trump,PER
iran,GPE
trump,PER
as,GPE
new york times,ORG
nyt gulf news,ORG
iran,GPE
as,GPE
israel,GPE
teheran,GPE
##ayah,LOC
iran,GPE
trump ny,PER
iran,GPE
khamenei,PER
trump,PER
ketiga,CRD
khamene,PER
trump,PER
jaringan media social truth,ORG
as,GPE
israel,GPE
iran,GPE
iran,GPE
kham,GPE
##ene,NOR
teheran,GPE
ali khamene,LOC
jaringan channel,ORG
israel,GPE
perdana menteri israel,NOR
benjamin netanyahu,PER
israel,GPE
iran,GPE
netanyahu,PER
khamene,PER
diktator,PER
ali khamene,PER
##i,GPE
iran,GPE
ali khamenei,PER
amerika serikat israel,GPE
pemerintah pemimpin tertinggi iran,NOR
##bes,LOC
tasnim fars al jazeera,PER
kota,GPE
teheran,GPE
israel,GPE
kham,PER
##ene,GPE
perdana menteri israel,NOR
benjamin netanyahu,PER
ali khamenei,PER
israel,GPE
amerika serikat,GPE
pemerintah iran,NOR
pemimpin,NOR
iran,NOR
pemimpin,NOR
iran,GPE
stasiun penyiaran negara internasional al jazeera,ORG
tasnim fars,PER
ali khamenei,PER
israel,GPE
as,GPE
iran,GPE
as,GPE
israel,GPE
iran,GPE
as,GPE
israel,GPE
khamene,PER
teheran,GPE
ali khamenei,PER
han,LOC
pemimpin,NOR
iran,GPE
stasiun,ORG
penyiaran,NOR
negara internasional al jazeera,ORG
tasnim fars,PER
ali khamenei,PER
israel,GPE
as,GPE
iran,GPE
as,GPE
israel,GPE
iran,NOR
as,GPE
israel,GPE
khamenei,PER
teheran,GPE
ali khamene,PER
teheran,GPE
perdana menteri israel,NOR
benjamin netanyahu,PER
israel,GPE
as,GPE
khamene,PER
##i,LOC
netanyahu,PER
khamene,PER
k,PER
presiden amerika serikat,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
trump,PER
truth social,PRD
februari,DAT
trump,PER
iran,GPE
israel,GPE
presiden amerika serikat as,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
ali khamenei,PER
khamene,PER
as,GPE
israel,GPE
teheran,GPE
khamene,PER
trump,PER
media social truth,ORG
as,GPE
israel,GPE
iran,GPE
iran,GPE
kediaman,LOC
kham,GPE
##enei teheran,LOC
as,GPE
israel,GPE
ali,LOC
khamene,PER
israel,GPE
perdana menteri israel,NOR
benjamin netanya,PER
##hu,NOR
israel,GPE
iran,GPE
netanya,PER
##hu,NOR
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat as,GPE
israel,GPE
garda revolusi iran,NOR
garda revolusi,NOR
khamenei,PER
angkatan bersenjata republik islam iran,NOR
pangkalan teroris,NOR
amerika,GPE
korps garda revolusi islam,NOR
pemerintah iran,NOR
iran,GPE
ayatollah ali khamenei,PER
amerika,GPE
serikat as,NOR
israel,GPE
khamene,PER
pemimpin,NOR
iran,GPE
penyiaran,ORG
al jazeera tasnim fars,PER
ali khamenei,PER
israel,GPE
as,GPE
iran,GPE
pemerintah iran,NOR
irna fars,PER
khamene,PER
pemerintah iran,NOR
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
amerika serikat,GPE
pemimpin,NOR
iran,GPE
penyiaran,ORG
kanal utama,ORG
iran,GPE
al,PER
jaz,ORG
##eera tasnim fars,PER
ali khamenei,PER
teheran,GPE
amerika,GPE
serikat,NOR
israel,GPE
khamene,PER
yogi ernes detikbali,PER
presiden amerika serikat as,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
ali khamenei trump khamene,PER
khamene,PER
as,GPE
israel,GPE
teheran,GPE
khamene,PER
trump,PER
media social truth,ORG
as,GPE
israel,GPE
iran,GPE
iran,GPE
kediaman khamenei teheran,LOC
kompleks ali khamenei,LOC
jaringan channel,LOC
israel,GPE
perdana menteri israel,NOR
benja,PER
amerika serikat as,GPE
israel,GPE
iran,GPE
presiden as,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
ali khamenei,PER
as,GPE
israel,GPE
ibukota iran teheran,GPE
ali khamenei,PER
ali khamenei,LOC
jaringan channel israel,ORG
donald trump,PER
ali khamene,PER
trump,PER
ali khamenei khamene,PER
trump,PER
jaringan media social tr,ORG
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat israel,GPE
khamene,PER
pemimpin,NOR
iran,NOR
stasiun penyiaran negara internasional,ORG
ayatollah ali khamenei,PER
iran,GPE
ayatollah ali khamene,PER
iran,GPE
khameneii,PER
mash,REG
##had,LOC
amerika serikat,GPE
as,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ali khamenei,PER
operasi epic fury,EVT
nbc,NOR
news,ORG
menteri pertahanan as,NOR
pete hegseth,PER
as,GPE
iran,GPE
operasi epic fury,EVT
iran,GPE
iran,GPE
amerika,GPE
trump,PER
hegset,PER
x,PRD
ali khamenei,PER
pemimpin tertinggi republik islam iran,NOR
april kota suci,DAT
mashhad iran,GPE
sayyed javad khamenei,PER
ulama,REG
khamenei,PER
alquran,REG
islam,REG
seminari teologi,ORG
mashhad,FAC
yurisprudensi,REG
islam,REG
ulama,REG
khamene,PER
revolusi islam iran,REG
pemimpin tertinggi iran,NOR
ali khamenei,PER
israel,GPE
fars,PER
pemerintah iran,NOR
ali khamenei aljaze,PER
israel,GPE
amerika serikat,GPE
teheran,GPE
khamenei fars,PER
pemimpin tertinggi iran,NOR
khamene,PER
ali khamene,PER
kota suci mashhad,GPE
april,PER
khamene,PER
iran,GPE
sayyed javad khamene,PER
perdana menteri israel,NOR
benjamin netanyahu,PER
iran,GPE
netanya,PER
##hu,NOR
pemimpin tertinggi iran,NOR
ali khamenei,PER
netanyahu,PER
iran,GPE
ali khamene,PER
teheran,GPE
netanyahu,PER
israel,GPE
amerika serikat,GPE
khamene,PER
dpp pkb,NOR
pemimpin tertinggi iran,NOR
ali khamenei,PER
teheran,GPE
israel,GPE
amerika serikat,GPE
iran,GPE
ketua deplu kerjasama internasional dpp pkb,NOR
